"Operador","Año","Mes","Servicio","Categoría","Bloque","Tipo Conexión","Servicios Autorizados","Conexiones","Unidades","Consumo","Importe","Importe Cargo Fijo"
"AyA","2020","Setiembre","Acueducto","Domiciliar"," ","Fijo","","8508","9211","","38159053","4306000"
"AyA","2020","Setiembre","Acueducto","Empresarial","0-15","Medido","","42471","42482","168068","272169874","85407253.87"
"AyA","2020","Setiembre","Acueducto","Empresarial","16-25","Medido","","5437","5439","108375","184264918","10934750.1"
"AyA","2020","Setiembre","Acueducto","Empresarial","26-40","Medido","","3595","3595","115634","208315620","7227509.95"
"AyA","2020","Setiembre","Acueducto","Empresarial","41-60","Medido","","2050","2050","101112","187653565","4121389.54"
"AyA","2020","Setiembre","Acueducto","Empresarial","61-80","Medido","","951","951","65192","123202786","1911922.66"
"AyA","2020","Setiembre","Acueducto","Empresarial","81-100","Medido","","623","623","56357","107279785","1252500.33"
"AyA","2020","Setiembre","Acueducto","Empresarial","101-120","Medido","","378","378","41795","80131729","759944.02"
"AyA","2020","Setiembre","Acueducto","Empresarial","121 y mas","Medido","","1566","1566","617145","1246184170","3148339.52"
"AyA","2020","Setiembre","Acueducto","Empresarial"," ","Fijo","","420","420","","2641900","102000"
"AyA","2020","Setiembre","Acueducto","Preferencial","0-15","Medido","","3813","3813","13683","5698439","7599326.78"
"AyA","2020","Setiembre","Acueducto","Preferencial","16-25","Medido","","606","606","12262","6373163","1207760.83"
"AyA","2020","Setiembre","Acueducto","Preferencial","26-40","Medido","","469","469","15390","9693794","934719.19"
"AyA","2020","Setiembre","Acueducto","Preferencial","41-60","Medido","","320","320","15973","11141211","637761.49"
"AyA","2020","Setiembre","Acueducto","Preferencial","61-80","Medido","","165","165","11844","8940051","328845.77"
"AyA","2020","Setiembre","Acueducto","Preferencial","81-100","Medido","","119","119","10804","8427488","237167.55"
"AyA","2020","Setiembre","Acueducto","Preferencial","101-120","Medido","","95","95","10541","8463457","189335.44"
"AyA","2020","Setiembre","Acueducto","Preferencial","121 y mas","Medido","","417","417","263128","232860060","831082.94"
"AyA","2020","Setiembre","Acueducto","Preferencial"," ","Fijo","","102","102","","792105","38000"
"AyA","2020","Setiembre","Acueducto","Gobierno","0-15","Medido","","977","977","4194","6805890","1948027.51"
"AyA","2020","Setiembre","Acueducto","Gobierno","16-25","Medido","","194","194","3952","6760688","386814.06"
"AyA","2020","Setiembre","Acueducto","Gobierno","26-40","Medido","","164","164","5215","9401180","326997.45"
"AyA","2020","Setiembre","Acueducto","Gobierno","41-60","Medido","","138","138","6798","12639192","275156.39"
"AyA","2020","Setiembre","Acueducto","Gobierno","61-80","Medido","","88","88","6145","11614700","175462.05"
"AyA","2020","Setiembre","Acueducto","Gobierno","81-100","Medido","","64","64","5717","10897948","127608.76"
"AyA","2020","Setiembre","Acueducto","Gobierno","101-120","Medido","","50","50","5550","10642200","99694.35"
"AyA","2020","Setiembre","Acueducto","Gobierno","121 y mas","Medido","","288","288","203912","415671977","574239.43"
"AyA","2020","Setiembre","Acueducto","Gobierno"," ","Fijo","","23","23","","46000",""
"AyA","2020","Setiembre","Acueducto","Venta de Agua en Bloque","0-15","Medido","","6","6","1","290",""
"AyA","2020","Setiembre","Acueducto","Venta de Agua en Bloque","61-80","Medido","","1","1","72","6840",""
"AyA","2020","Setiembre","Acueducto","Venta de Agua en Bloque","121 y mas","Medido","","4","4","16918","1607210",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","0-15","Medido","","368563","432130","3185101","84726163",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","16-25","Medido","","151994","167176","3319848","86193736",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","26-40","Medido","","64610","68865","2136223","55564596",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","41-60","Medido","","13861","14900","712917","18647566",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","61-80","Medido","","2588","2690","186189","4933910",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","81-100","Medido","","859","903","82925","2166708",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","101-120","Medido","","388","402","45927","1172626",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar","121 y mas","Medido","","858","904","23094","493173",""
"AyA","2020","Setiembre","Hidrantes","Domiciliar"," ","Fijo","","8508","9211","","5088416",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","0-15","Medido","","42471","42482","168068","4410515",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","16-25","Medido","","5437","5439","108375","2807150",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","26-40","Medido","","3595","3595","115634","3006060",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","41-60","Medido","","2050","2050","101112","2618710",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","61-80","Medido","","951","951","65192","1700399",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","81-100","Medido","","623","623","56357","1472544",""
"AyA","2020","Setiembre","Hidrantes","Empresarial","101-120","Medido","","378","378","41795","1088731",""
